metro_area,total_workers,car_truck_or_van,drove_alone,carpooled,public_transportation,bus,long_distance_train_or_commuter_rail,light_rail_streetcar_or_trolley,ferryboat,taxicab,motorcycle,bicycle,walked,other_means,worked_from_home,other_aggregate,worked_from_home_extended,metro_area_id,year
"Las Vegas-Henderson-Paradise, NV Metro Area",1018288,902254,802144,100110,77408,13100,9602,34323,33825,263,32,149,54,2675,14806,21929,42301,29820,2019
"Laurel, MS Micro Area",34318,32776,30040,2736,1951,369,416,37,37,0,0,0,0,0,553,624,328,29860,2019
"Laurinburg, NC Micro Area",11704,11289,10140,1149,870,168,111,27,27,0,0,0,0,25,147,63,153,29900,2019
"Lawrence, KS Metro Area",67000,57929,52083,5846,4409,764,673,1379,1369,10,0,0,0,587,3558,614,2933,29940,2019
"Lawrenceburg, TN Micro Area",16399,15188,13785,1403,1059,156,188,16,16,0,0,0,0,0,351,309,535,29980,2019
"Lawton, OK Metro Area",57581,48208,41786,6422,5119,693,610,684,684,0,0,0,0,81,1251,658,6699,30020,2019
"Lebanon, MO Micro Area",15395,14550,12689,1861,1516,164,181,0,0,0,0,0,0,0,195,192,458,30060,2019
"Lebanon, NH-VT Micro Area",108318,93988,83522,10466,8299,1430,737,947,873,60,12,2,0,597,5172,1429,6185,30100,2019
"Lebanon, PA Metro Area",67294,61339,55066,6273,4884,923,466,593,542,0,51,0,0,105,2341,441,2475,30140,2019
"Levelland, TX Micro Area",9991,9402,7566,1836,1285,269,282,10,10,0,0,0,0,11,206,92,270,30220,2019
"Lewisburg, PA Micro Area",17684,14696,13013,1683,1254,202,227,38,38,0,0,0,0,297,1338,114,1201,30260,2019
"Lewisburg, TN Micro Area",14474,13904,12859,1045,791,113,141,21,21,0,0,0,0,0,66,51,432,30280,2019
"Lewiston, ID-WA Metro Area",28398,25365,23109,2256,1709,287,260,87,83,4,0,0,0,136,841,358,1611,30300,2019
"Lewiston-Auburn, ME Metro Area",53112,48165,42130,6035,4320,1098,617,80,80,0,0,0,0,167,1895,457,2348,30340,2019
"Lewistown, PA Micro Area",21106,19354,16825,2529,1589,200,740,9,9,0,0,0,0,0,506,328,909,30380,2019
"Lexington, NE Micro Area",12985,12225,10154,2071,1229,529,313,38,36,2,0,0,0,7,259,72,384,30420,2019
"Lexington-Fayette, KY Metro Area",253618,226290,202726,23564,19223,2805,1536,3333,3257,40,0,0,36,1097,7962,3345,11591,30460,2019
"Liberal, KS Micro Area",10768,9955,7714,2241,1377,437,427,30,7,0,0,23,0,20,294,125,344,30580,2019
"Lima, OH Metro Area",47375,44303,40709,3594,3139,352,103,325,321,4,0,0,0,24,724,670,1329,30620,2019
"Lincoln, IL Micro Area",12211,11094,9806,1288,903,149,236,52,52,0,0,0,0,77,359,30,599,30660,2019
"Lincoln, NE Metro Area",179003,161521,145574,15947,12303,2385,1259,2048,1991,24,0,10,23,1909,5896,1092,6537,30700,2019
"Little Rock-North Little Rock-Conway, AR Metro Area",343281,320504,287893,32611,24774,4615,3222,1744,1625,62,4,42,11,524,4584,3883,12042,30780,2019
"Lock Haven, PA Micro Area",17492,15605,13687,1918,1432,253,233,37,34,0,0,3,0,34,931,332,553,30820,2019
"Logan, UT-ID Metro Area",65851,56512,48932,7580,5282,1236,1062,1362,1317,5,28,12,0,955,2343,636,4043,30860,2019
"Logansport, IN Micro Area",17396,16532,14545,1987,1540,298,149,84,84,0,0,0,0,19,231,162,368,30900,2019
"London, KY Micro Area",51160,48325,43109,5216,4150,684,382,42,42,0,0,0,0,24,957,302,1510,30940,2019
"Longview, TX Metro Area",119782,112232,101234,10998,8205,1814,979,104,96,0,0,0,8,49,1928,1156,4313,30980,2019
"Longview, WA Metro Area",43638,40079,35770,4309,3104,799,406,96,96,0,0,0,0,227,885,283,2068,31020,2019
"Los Alamos, NM Micro Area",9666,8237,7549,688,630,14,44,332,324,0,0,0,8,255,345,144,353,31060,2019
"Los Angeles-Long Beach-Anaheim, CA Metro Area",6373454,5390117,4783853,606264,459950,85245,61069,309975,258556,28589,17075,4707,1048,47612,159110,98219,368421,31080,2019
"Louisville/Jefferson County, KY-IN Metro Area",610468,552511,500706,51805,41683,6325,3797,11195,11035,2,16,71,71,1339,9757,7837,27829,31140,2019
"Lubbock, TX Metro Area",152661,141697,122232,19465,15662,2472,1331,1215,1164,0,0,27,24,540,3196,1286,4727,31180,2019
"Ludington, MI Micro Area",12626,11777,10259,1518,1251,151,116,15,15,0,0,0,0,5,316,109,404,31220,2019
"Lufkin, TX Micro Area",35888,33736,28876,4860,3661,699,500,99,99,0,0,0,0,19,676,321,1037,31260,2019
"Lumberton, NC Micro Area",47986,46304,41706,4598,2914,646,1038,110,98,0,0,7,5,12,362,435,763,31300,2019
"Lynchburg, VA Metro Area",119561,108471,97499,10972,9047,1387,538,1133,1082,8,12,0,31,154,2746,1866,5191,31340,2019
"Macomb, IL Micro Area",13223,11326,10033,1293,1042,224,27,183,183,0,0,0,0,58,984,164,508,31380,2019
"Macon-Bibb County, GA Metro Area",92777,86433,77807,8626,6493,1111,1022,724,698,18,8,0,0,77,1681,1045,2817,31420,2019
"Madera, CA Metro Area",54942,49655,42077,7578,5066,1208,1304,264,209,8,0,9,38,128,934,1957,2004,31460,2019
"Madison, IN Micro Area",14161,12896,11857,1039,800,172,67,17,15,0,2,0,0,0,505,156,587,31500,2019
"Madison, WI Metro Area",366510,302569,275055,27514,22299,2999,2216,15646,15456,57,87,18,28,8118,18161,3370,18646,31540,2019
"Madisonville, KY Micro Area",18548,17626,16612,1014,731,105,178,58,58,0,0,0,0,0,209,266,389,31580,2019
